time promise/request emitter/request nextTick/request
30 1.689 3.162 8.021
60 1.359 3.953 9.384
90 1.261 3.99 9.366
120 1.209 3.82 8.97
150 1.249 3.933 9.247
180 1.285 4.043 9.499
210 1.283 4.036 9.495
240 1.291 4.062 9.55
270 1.281 4.026 9.464
300 1.122 3.521 8.286
330 1.288 4.033 9.497
360 1.291 4.041 9.514
390 1.286 4.026 9.477
420 1.283 4.017 9.458
450 1.294 4.051 9.537
480 1.277 3.999 9.416
510 1.294 4.047 9.532
540 1.295 4.057 9.548
570 1.291 4.038 9.509
600 1.296 4.057 9.553
