time promise/request emitter/request nextTick/request
30 1.123 2.563 5.886
60 1.149 3.605 7.751
90 1.262 3.953 8.502
120 1.296 4.055 8.725
150 1.177 3.683 7.925
180 1.213 3.792 8.158
210 1.29 4.03 8.674
240 1.294 4.042 8.698
270 1.249 3.9 8.394
300 1.285 4.013 8.636
330 1.239 3.87 8.329
360 1.28 3.995 8.598
390 1.292 4.033 8.682
420 1.298 4.051 8.718
450 1.287 4.018 8.649
480 1.316 4.107 8.839
510 1.279 3.993 8.594
540 1.293 4.037 8.69
570 1.287 4.017 8.646
600 1.302 4.063 8.745
