time baseline nopromise promise
30 16.266666666666666 3.3 28.5
60 55.666666666666664 15.366666666666667 57.4
90 159.13333333333333 25.7 71.4
120 266.6333333333333 24.433333333333334 74.23333333333333
150 470.43333333333334 27.966666666666665 88.23333333333333
180 489.8666666666667 24.933333333333334 115.53333333333333
210 788.5 27.433333333333334 124.53333333333333
240 945.3 28.333333333333332 124.66666666666667
270 959 42.43333333333333 131.16666666666666
300 953.8 63.166666666666664 144.76666666666668
330 952.2666666666667 69.76666666666667 153.56666666666666
360 957.4333333333333 62.833333333333336 164.03333333333333
390 957.2666666666667 139.76666666666668 171.23333333333332
420 916.0666666666667 168.26666666666668 172.1
450 978.2333333333333 183 173.66666666666666
480 975.5 185.16666666666666 169.9
510 978.7333333333333 182.86666666666667 170.5
540 973.6666666666666 187.73333333333332 170.53333333333333
570 929.9333333333333 187.06666666666666 171.5
600 959.0666666666667 186.9 169.43333333333334
