time promise/request emitter/request nextTick/request
30 2.287 4.445 10.594
60 1.765 4.076 9.33
90 1.306 3.898 8.446
120 1.246 3.972 8.506
150 1.24 3.934 8.446
180 1.222 3.869 8.303
210 1.265 4 8.581
240 1.291 4.076 8.75
270 1.276 4.025 8.644
300 1.28 4.034 8.665
330 1.277 4.023 8.641
360 1.292 4.071 8.745
390 1.292 4.07 8.744
420 1.285 4.043 8.688
450 1.282 4.042 8.679
480 1.286 4.046 8.696
510 1.299 4.091 8.786
540 1.259 3.962 8.517
570 1.29 4.055 8.714
600 1.288 4.049 8.703
