time baseline nopromise promise
30 127.33333333333333 5.733333333333333 3.3666666666666667
60 391.1333333333333 15.3 8.666666666666666
90 559.6 22.3 14.766666666666667
120 715.0333333333333 29.333333333333332 16.766666666666666
150 531.6 34.6 18.833333333333332
180 407.73333333333335 36.233333333333334 23.7
210 457.8 38.6 26.733333333333334
240 509.96666666666664 40.733333333333334 27.533333333333335
270 431.03333333333336 43 28.966666666666665
300 413.3 45.4 30.166666666666668
330 467.46666666666664 46.9 31.266666666666666
360 506.3 49.03333333333333 32.03333333333333
390 556.4 49.53333333333333 32.36666666666667
420 442.06666666666666 50.46666666666667 32.96666666666667
450 475.6 51.96666666666667 34.06666666666667
480 456.6333333333333 53.13333333333333 34.53333333333333
510 438.3 54.666666666666664 34.43333333333333
540 410.46666666666664 55.46666666666667 36.233333333333334
570 478.1666666666667 55.266666666666666 38.166666666666664
600 453.46666666666664 56.2 38.43333333333333
